               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027053,            0.008276,            0.013445,             0.98373,             0.98451,             0.99391,             0.76583,            0.013972,           0.0042074,           0.0035579,            0.006535,            0.006535,            0.006535
                  37,            0.026774,            0.008297,            0.011632,             0.98958,             0.99817,               0.995,             0.79531,            0.012627,           0.0040576,           0.0027548,            0.006436,            0.006436,            0.006436
                  38,            0.025533,           0.0079999,            0.013473,             0.98941,             0.99044,             0.99467,             0.80858,             0.01344,           0.0040534,           0.0027747,            0.006337,            0.006337,            0.006337
                  39,             0.02613,           0.0086193,            0.013575,             0.99478,             0.99927,               0.995,             0.79797,            0.013371,           0.0039441,           0.0023762,            0.006238,            0.006238,            0.006238
                  40,            0.026148,           0.0083209,            0.013014,             0.98892,             0.99833,               0.995,             0.81169,            0.012405,           0.0039852,            0.002314,            0.006139,            0.006139,            0.006139
                  41,            0.026481,           0.0082614,            0.012532,             0.99413,             0.99988,               0.995,             0.81274,            0.011859,           0.0039101,            0.002273,             0.00604,             0.00604,             0.00604
                  42,            0.026065,            0.008181,            0.012087,             0.99011,             0.99775,             0.99495,             0.82446,            0.011818,           0.0038831,           0.0023159,            0.005941,            0.005941,            0.005941
                  43,            0.025767,           0.0080963,             0.01235,             0.98714,             0.98645,             0.99381,             0.80918,            0.011654,           0.0039309,           0.0025307,            0.005842,            0.005842,            0.005842
                  44,            0.024015,           0.0078339,            0.010117,             0.99164,             0.98987,             0.99463,             0.80597,            0.011556,           0.0039344,           0.0022359,            0.005743,            0.005743,            0.005743
                  45,            0.024453,           0.0077001,            0.010793,             0.98696,             0.98736,             0.99485,             0.82654,            0.012322,           0.0037552,           0.0024884,            0.005644,            0.005644,            0.005644
                  46,            0.023074,           0.0074272,            0.011298,             0.99347,             0.99492,               0.995,             0.84915,            0.010724,            0.003657,            0.001939,            0.005545,            0.005545,            0.005545
                  47,            0.025014,           0.0077602,             0.01309,             0.98843,             0.99195,             0.99491,              0.8133,            0.012567,           0.0039932,           0.0022454,            0.005446,            0.005446,            0.005446
                  48,            0.023301,           0.0081037,            0.011586,             0.99465,             0.99158,               0.995,             0.83642,            0.012375,           0.0037395,           0.0018668,            0.005347,            0.005347,            0.005347
